tweaked_notes,paddock_only,date_on,time_only,date_off,time_off,full_grown,heifer_steer,calf
Moved yearlings to set 6 on the E 18 1 more set to the south to go,E18M,26-Sep-19,09:03PM,2-Oct-19,05:52PM,,7,
Move cows to P13,P13,28-Sep-19,12:56PM,30-Sep-19,04:41PM,13,,8
Moved cows to P11,P11,30-Sep-19,04:41PM,2-Oct-19,05:51PM,13,,8
Move cows to P9,P9,2-Oct-19,05:51PM,5-Oct-19,12:00PM,13,,8
Moved yearlings to south end of E18 last set,E18S,2-Oct-19,05:52PM,9-Oct-19,08:15PM,,7,
Move cows to P5 on Saturday,P5,5-Oct-19,12:00PM,9-Oct-19,08:15PM,13,,8
Moved cows to P7 Tuesday afternoon,P7,7-Oct-19,07:32PM,9-Oct-19,08:15PM,13,,8
Combined yearlings with balance of the herd. Pulled Franklin and Fillmore. Moved heard to P10,P10,9-Oct-19,08:15PM,12-Oct-19,08:23AM,13,7,8
Inventoried cattle and move cows to P12,P12,12-Oct-19,08:23AM,14-Oct-19,09:00PM,13,7,8
Move cows to P8,P8,14-Oct-19,09:00PM,17-Oct-19,11:10PM,13,7,8
Gave balls P20 the old hog lot,P20,14-Oct-19,09:01PM,2-Nov-19,12:00PM,2,,
Move cows to north and of E18 on Wednesday morning October 16,E18N,17-Oct-19,11:10PM,19-Oct-19,09:55AM,13,7,8
Move cows to second set from the north on the E 18 directly inside the green gate,E18N,19-Oct-19,09:55AM,21-Oct-19,03:21PM,13,7,8
Move cows to set 3 on the E 18. Two wire gate from P8 opens into this area,E18M,21-Oct-19,03:21PM,21-Oct-19,03:21PM,13,7,8
Move the cows to set 4 on the E 18,E18M,24-Oct-19,04:37PM,27-Oct-19,02:19PM,13,7,8
Move cows to very south Pon E18,E18S,27-Oct-19,02:19PM,29-Oct-19,05:37PM,13,7,8
Move cows off of E18 to P14. Coiled up hoses going back to using the Colbert for water,P14,29-Oct-19,05:37PM,2-Nov-19,08:45AM,13,7,8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
